Name,Category,Subcategory,Pricing floor (USD/mo),Pricing model,Integrations,Free tier,Aiprosol verdict,Gotchas,Verdict tier
Bardeen,No-code automation,Browser-based,0,$15-99/mo,100,Yes,Run automations in your browser. Good for scraping.,Browser-limited; can't run unattended.,
Activepieces,No-code automation,Open source,0,self-host,200,Yes,Newer open-source alt to Zapier.,Fewer integrations than n8n.,
HubSpot,CRM/Sales,Full suite,0,free / $20-1200/mo,1000,Yes,Best free CRM tier. Aiprosol uses it.,Marketing/sales hubs get expensive fast.,Aiprosol pick
Salesforce,CRM/Sales,Enterprise,25,$25-330/user/mo,5000,No,Industry standard for >50-rep teams.,Implementation cost > license cost.,
Pipedrive,CRM/Sales,SMB,14,$14-99/user/mo,400,No,Cleaner UX than HubSpot for small sales teams.,Reporting weaker.,
Close,CRM/Sales,Inside sales,49,$49-139/user/mo,100,No,Best for high-velocity inside sales (built-in dialer).,Pricier per seat.,
Attio,CRM/Sales,Notion-style,29,$29-119/user/mo,50,Yes,Modern CRM with relations + custom objects.,Newer; smaller integration list.,
Folk,CRM/Sales,Lightweight,0,$8-79/user/mo,100,Yes,Best for solo founders + early sales teams.,Less powerful for larger teams.,
Resend,Email,Transactional,0,free / $20+/mo,0,Yes,Aiprosol's pick. Developer-first.,No advanced marketing automation.,Aiprosol pick
SendGrid,Email,Transactional,0,free / $19.95+/mo,100,Yes,Industry default for transactional.,Deliverability inconsistent at scale.,
Postmark,Email,Transactional,15,$15+/mo,0,No,Best transactional deliverability.,More expensive than alternatives.,
Customer.io,Email,Marketing automation,100,$100+/mo,50,No,Best behavioural email + segmentation.,Pricier than Mailchimp.,
Mailchimp,Email,Marketing,0,free-$350/mo,300,Yes,Best for non-technical marketers.,Pricing scales poorly with list size.,
Loops,Email,Modern marketing,0,$49+/mo,20,Yes,Modern alternative to Mailchimp.,Newer; smaller template library.,
PostHog,Analytics,Product analytics,0,free / $0.00005+/event,30,Yes,Aiprosol's pick. Self-host option.,Pricing scales with event volume.,Aiprosol pick
Mixpanel,Analytics,Product analytics,0,free / $20-833/mo,50,Yes,Industry standard for product analytics.,Costs balloon with high event volume.,
Amplitude,Analytics,Product analytics,0,free / $61+/mo,100,Yes,Best for analyst-driven cohort/funnel work.,More complex than Mixpanel.,
Plausible,Analytics,Web analytics,9,$9-69/mo,0,No,Privacy-friendly Google Analytics alternative.,Less detail than GA4.,
Fathom,Analytics,Web analytics,15,$15-90/mo,0,No,"Simple, privacy-friendly web analytics.",Pricier than Plausible per visit.,
Mode,Analytics,SQL/BI,0,$0-12k+/mo,50,Yes,Best for analyst-led SQL exploration.,Steeper learning curve than dashboards.,
Linear,Project management,Eng-focused,0,free / $10+/user/mo,50,Yes,Aiprosol's pick. Fastest issue tracker.,Less suitable for non-eng teams.,Aiprosol pick
Notion,Project management,Wiki + projects,0,free / $10+/user/mo,100,Yes,Aiprosol's pick. Best blank-page flexibility.,Slower than dedicated tools at scale.,Aiprosol pick
Asana,Project management,Cross-team,0,free / $13.49+/user/mo,200,Yes,Best for marketing/ops teams.,Slower UX than Linear.,
ClickUp,Project management,Everything,0,free / $7+/user/mo,1000,Yes,Highest feature density. Most flexibility.,Overwhelming for small teams.,
Monday.com,Project management,Cross-team,0,$9-19/user/mo,200,Yes,Best visual workflows for non-tech teams.,Reporting weaker than Asana.,
Height,Project management,AI-native,0,$0-12.50+/user/mo,30,Yes,AI-first task management.,Newer; smaller team.,
Google Workspace,Documents,Suite,6,$6-18/user/mo,1000,No,Industry default for cloud docs.,Limited AI features vs Microsoft.,
Microsoft 365,Documents,Suite,6,$6-22/user/mo,1000,No,Best AI integration (Copilot).,Pricier add-ons.,
Coda,Documents,Doc-as-database,0,free / $10+/user/mo,100,Yes,Best for ops teams needing doc + DB combo.,Different mental model; learning curve.,
Quip,Documents,Salesforce-integrated,10,$10-25/user/mo,50,No,Best if deep in Salesforce.,"Outside Salesforce, weak vs Google/Notion.",
Stack Overflow Teams,Documents,Knowledge,0,free / $7.50+/user/mo,30,Yes,Best for eng-team Q&A retention.,Less general than Notion.,
Intercom,Customer support,Chat + helpdesk,39,$39+/seat/mo,100,No,Best AI-augmented chat experience.,Pricing escalates with AI usage.,
Zendesk,Customer support,Enterprise,19,$19+/agent/mo,1000,No,Industry standard. Best for >20-agent teams.,Slower innovation; pricier.,
Front,Customer support,Shared inbox,19,$19-99/seat/mo,50,Yes,Best shared inbox model.,Less suited for high-volume helpdesk.,
Plain,Customer support,Dev-friendly,0,free / $35+/seat/mo,20,Yes,Best UX for technical support teams.,Newer; less mature.,
Pylon,Customer support,B2B Slack-based,0,from $59/seat/mo,30,No,Best for managing customer Slack channels.,Smaller scope vs Intercom.,
Crisp,Customer support,SMB,0,free / $25-95/mo,100,Yes,Best free tier for very small teams.,Less powerful than peers at scale.,
Vercel,Hosting/Deploy,Frontend,0,free / $20+/mo,100,Yes,Aiprosol's pick. Best for Next.js.,Pricier than VPS at scale.,Aiprosol pick
Cloudflare,Hosting/Deploy,Edge,0,free / $20+/mo,50,Yes,Best CDN + edge compute.,Workers learning curve.,
Railway,Hosting/Deploy,Backend,0,$5-20+/mo,30,Yes,Best for fast backend deploys.,Less mature than Heroku competitors.,
Sentry,Observability,Errors,0,free / $26+/mo,100,Yes,Industry standard for error tracking.,Pricing scales with events.,
Datadog,Observability,Full-stack,0,from $15+/host/mo,600,Yes,Best enterprise observability.,Bills surprise at scale.,
LangChain,AI agents,Framework,0,open source,0,Yes,Most popular agent framework.,API churn frustrates teams.,
LlamaIndex,AI agents,Framework,0,open source,0,Yes,Best for RAG-heavy workloads.,Smaller community than LangChain.,
CrewAI,AI agents,Multi-agent,0,open source / cloud,0,Yes,Best for multi-agent orchestration.,Newer; production cases still emerging.,
AutoGen,AI agents,Multi-agent,0,open source,0,Yes,Microsoft's multi-agent framework.,Documentation patchy.,
Inngest,AI agents,Durable workflows,0,free / $50+/mo,20,Yes,Best for long-running AI workflows.,Steeper learning curve than n8n.,
Mistral Large,Conversational AI,API access,0,€0.40-12/M tokens,0,No,European LLM with strong reasoning.,Smaller ecosystem vs OpenAI/Anthropic.,
Llama 3.3 70B,Conversational AI,Open source,0,self-host,0,Yes,Meta's open weights. Run anywhere.,Self-hosting infra cost is real.,
Qwen 2.5,Conversational AI,Open source,0,self-host / API,0,Yes,Alibaba's strong open model.,Less English benchmark data.,
Gemini Pro API,Conversational AI,API access,0,$0.075-7/M tokens,0,No,Best at multimodal video.,Less reliable function-calling vs OpenAI.,
Groq,Conversational AI,Fast inference,0,$0.10-1.50/M tokens,0,Yes,Aiprosol uses for chat widget. Sub-100ms.,Smaller model selection.,Aiprosol pick
DeepSeek V3,Conversational AI,Open source,0,API + self-host,0,Yes,Chinese-origin frontier model.,Geo-political considerations.,
Yi-34B,Conversational AI,Open source,0,self-host,0,Yes,Strong bilingual (Chinese-English).,Less Western benchmark coverage.,
Phi-4,Conversational AI,Edge models,0,self-host,0,Yes,Small enough to run on laptops.,Quality below frontier models.,
Reka Core,Conversational AI,API access,0,$0.40-15/M tokens,0,No,Multimodal native (text+image+audio+video).,Smaller community.,
Cohere Command R,Conversational AI,RAG-tuned API,0,$0.15-15/M tokens,0,No,Best for production RAG workloads.,Smaller ecosystem.,
Inflection Pi,Conversational AI,Consumer chat,0,freemium,0,Yes,Built for emotional intelligence.,Limited business utility.,
Character.AI,Conversational AI,Roleplay,0,$10/mo,0,Yes,Persona-driven roleplay.,Niche use case.,
Hugging Face Spaces,Conversational AI,Demo hosting,0,free / $9+/mo,0,Yes,Try any open-source model in browser.,Latency variable; not production.,
Forefront AI,Conversational AI,API aggregator,0,$20+/mo,0,Yes,One API for multiple model providers.,Adds latency vs direct.,
OpenRouter,Conversational AI,API aggregator,0,passthrough + markup,0,Yes,100+ models behind one API.,Markup adds 5-10% cost.,
Aider,Code generation,CLI,0,API-based,0,Yes,Open-source agentic coder.,Less polished than Claude Code.,
Continue,Code generation,IDE plugin,0,open source,0,Yes,Open-source Cursor alternative.,Smaller community.,
Sourcegraph Cody,Code generation,Code search + AI,0,$9-19/mo,0,Yes,Best for huge monorepos.,Pricing scales with seats.,
Pieces for Developers,Code generation,Snippet management,0,$10-25/mo,0,Yes,AI-organised code snippets.,Niche use case.,
AmazonQ Developer,Code generation,IDE plugin,0,$19/user/mo,0,Yes,AWS-tuned AI coder.,Best within AWS ecosystem.,
Cognition Devin,Code generation,Autonomous agent,0,$500/mo,0,No,Marketed as autonomous SWE.,Quality below human SWE in benchmarks.,
Phind,Code generation,Search-driven,0,free / $15/mo,0,Yes,AI-first dev search.,Smaller community than Google.,
CodeWhisperer (Q),Code generation,AWS-tuned,0,$19/user/mo,0,No,Best inside AWS context.,Less general than Copilot.,
Recraft V3,Image gen,Design assets,0,$10-30/mo,0,Yes,Vector + raster + text.,Newer; smaller community.,
Ideogram 2.0,Image gen,Text in images,0,$8-20/mo,0,Yes,Best text rendering inside images.,Limited style range.,
Stability AI SDXL,Image gen,Open source,0,self-host / API,0,Yes,Open weights; high resolution.,Setup overhead.,
Leonardo.ai,Image gen,Game assets,0,$12-60/mo,0,Yes,Best for game asset workflows.,Niche focus.,
Playground AI,Image gen,Filter-style,0,$15-30/mo,0,Yes,Easy UI for hobbyists.,Less control than peers.,
Civitai,Image gen,Community models,0,free + premium,0,Yes,1000s of fine-tuned models.,Quality variable.,
Photoroom,Image gen,Product photography,0,$10-200/mo,0,Yes,Best for e-commerce product shots.,Specialised; not general gen.,
Magnific.ai,Image gen,Upscaling,0,$39+/mo,0,No,Best upscaler currently available.,Pricing premium.,
Topaz Photo AI,Image gen,Upscaling/cleanup,200,$199 one-time,0,No,Best for photo restoration.,"One-time purchase, not subscription.",
Runway Gen-3 Alpha,Image gen,Video frames,0,$12-95/mo,0,Yes,Frame interpolation for video.,Pricier for image-only.,
Krea AI,Image gen,Real-time,0,$10-60/mo,0,Yes,Iterative generation.,Quality below static gen.,
Sora,Video gen,Text-to-video,0,via ChatGPT,0,No,OpenAI's video model.,Limited access (Plus/Pro).,
Veo 3,Video gen,Google's video,0,limited access,0,No,Top-tier quality.,Limited rollout.,
Hailuo MiniMax,Video gen,Asian-market,0,credits,0,Yes,Strong character consistency.,Less Western coverage.,
Kling,Video gen,ByteDance,0,credits,0,Yes,Long-clip generation.,Geo-restrictions in some markets.,
Genmo,Video gen,Animation,0,$10-30/mo,0,Yes,Stylised animation focus.,Newer.,
Wonder Studio,Video gen,VFX replacement,0,$30-280/mo,0,No,Auto-replace actors with CGI.,Pricing premium.,
Captions.ai,Video gen,Subtitle/lip-sync,0,$10-25/mo,0,Yes,Best for vertical video subtitles.,Niche use case.,
Descript,Video gen,Edit-by-transcript,0,$15-30/mo,0,Yes,Edit video like a doc.,Quality limits at long form.,
Cartesia Sonic,Voice/audio,Fast TTS,0,$5-49/mo + usage,0,Yes,Sub-150ms latency.,Newer.,
PlayHT,Voice/audio,Voice cloning,0,$31-99/mo,0,Yes,Solid mid-tier voice cloning.,Below ElevenLabs quality.,
Murf AI,Voice/audio,TTS for videos,0,$23-99/mo,0,Yes,Best for narration in videos.,Less natural than ElevenLabs.,
Lovo AI,Voice/audio,TTS,0,$24-149/mo,0,Yes,Wide language coverage.,Quality variable across languages.,
Speechify,Voice/audio,Text-to-speech read-aloud,0,$15-30/mo,0,Yes,Best for ADHD/dyslexia accessibility.,Less for creators.,
Otter.ai,Voice/audio,Meeting transcription,0,free / $17+/mo,0,Yes,Most popular meeting transcriber.,Quality below Fireflies.,
Fireflies,Voice/audio,Meeting transcription,0,free / $19+/mo,0,Yes,Best meeting summarisation.,Slack integration weaker.,
Granola,Voice/audio,Meeting notes,0,$14+/mo,0,Yes,"Macbook native, no bot in calls.",Mac-only.,
tldv,Voice/audio,Free meeting recorder,0,free / $20+/mo,0,Yes,Best free meeting recorder.,Bot appears in calls.,
Krisp,Voice/audio,Noise cancellation,0,free / $8+/mo,0,Yes,Industry standard noise cancel.,Subscription required for full feature.,
Qdrant,Knowledge base,Vector DB,0,self-host / cloud,0,Yes,Best Rust-based vector DB.,Smaller community than Pinecone.,
Milvus,Knowledge base,Vector DB,0,self-host / Zilliz cloud,0,Yes,Scales to billions of vectors.,More ops overhead.,
LanceDB,Knowledge base,Embedded vector DB,0,open source / cloud,0,Yes,Embedded; no server needed.,Less production tooling.,
Supabase pgvector,Knowledge base,Postgres vector,0,with Supabase plan,0,Yes,Easiest for Postgres users.,Performance ceiling vs purpose-built.,
Turbopuffer,Knowledge base,Serverless vector,0,usage-based,0,Yes,Pay-per-query pricing.,Newer; less ecosystem.,
MongoDB Atlas Vector Search,Knowledge base,Within MongoDB,0,with Atlas plan,0,Yes,Easiest for MongoDB users.,Less optimised vs purpose-built.,
Elasticsearch vector,Knowledge base,Within ES,0,with ES plan,0,Yes,Hybrid keyword + vector search.,Adds latency.,
Atomic.io,Knowledge base,Personal,0,$8/mo,0,Yes,Personal mem with AI search.,Less mature than peers.,
Rewind,Knowledge base,Personal capture,0,$10-20/mo,0,Yes,Captures everything you've seen/heard.,Mac/iPhone only; privacy considerations.,
Albato,No-code automation,Cloud,0,$13-149/mo,800,Yes,Affordable Zapier alternative.,Smaller integration count.,
Integromat (old Make),No-code automation,Cloud,0,merged into Make,0,Yes,Now branded Make.com.,Brand transition.,
Workato,No-code automation,Enterprise,0,from $10K/year,1000,No,Enterprise iPaaS.,Pricing locks out SMBs.,
Tray.io,No-code automation,Enterprise,0,from $9K/year,600,No,Enterprise iPaaS with code escape.,Pricing premium.,
Boomi,No-code automation,Enterprise,0,from $20K/year,500,No,Legacy enterprise iPaaS.,Slower innovation.,
Mulesoft,No-code automation,Enterprise,0,from $80K/year,1000,No,"Salesforce-owned, full iPaaS.",Heavy enterprise pricing.,
Zoho Flow,No-code automation,SMB,10,$10-29/mo,700,Yes,Best within Zoho ecosystem.,Less useful outside Zoho.,
Latenode,No-code automation,Code-first,0,free / $19+/mo,300,Yes,Best when code is needed.,Smaller community.,
Apollo.io,CRM/Sales,Prospecting,0,free / $49+/mo,50,Yes,Best B2B prospecting database.,Data freshness inconsistent.,
Outreach,CRM/Sales,Sales engagement,100,$100+/user/mo,100,No,Enterprise sales sequencing.,Pricing locks out smaller teams.,
Salesloft,CRM/Sales,Sales engagement,75,$75+/user/mo,100,No,Salesforce-adjacent.,Smaller integration count than Outreach.,
Reply.io,CRM/Sales,Sales engagement,49,$49-99/user/mo,50,No,Multichannel outbound.,Below Outreach in polish.,
Lemlist,CRM/Sales,Cold email,39,$39-79/user/mo,30,No,Best video-personalisation cold email.,Deliverability inconsistent at scale.,
Instantly,CRM/Sales,Cold email,37,$37-97/mo,20,No,Best deliverability cold email.,More complex setup.,
Smartlead,CRM/Sales,Cold email,39,$39-99/mo,20,No,Cold email with rotation.,Niche use case.,
Mixmax,CRM/Sales,Email + scheduling,12,$12-69/user/mo,30,No,Gmail-native sales tools.,Gmail-only.,
Clearbit,CRM/Sales,Enrichment,0,usage / enterprise,100,No,Industry-standard enrichment.,Acquired by HubSpot; pricing in flux.,
ZoomInfo,CRM/Sales,Prospecting,0,enterprise,100,No,Largest B2B data set.,Heavy enterprise pricing.,
Cognism,CRM/Sales,Prospecting + compliance,0,enterprise,50,No,Best GDPR-compliant prospecting.,European-focused.,
LinkedIn Sales Navigator,CRM/Sales,Prospecting,80,$80-150/user/mo,30,No,LinkedIn-native prospecting.,Doesn't expose emails.,
RB2B,CRM/Sales,Visitor identification,0,free / $129+/mo,10,Yes,Identify website visitors.,Coverage limited.,
Common Room,CRM/Sales,Community intel,0,free / $625+/mo,50,Yes,Track community signals.,Pricing premium.,
Beehiiv,Email,Newsletter platform,0,free / $42+/mo,30,Yes,Best for newsletter creators.,Less business automation.,
ConvertKit,Email,Creator-focused,0,free / $9+/mo,100,Yes,Best for solopreneurs.,Less powerful than peers at scale.,
ActiveCampaign,Email,Marketing automation,9,$9-145/mo,200,No,Best behavioural automation.,Complex setup.,
MailerLite,Email,Affordable,0,free / $15+/mo,100,Yes,Best Mailchimp alternative for SMBs.,Less polished UX.,
Brevo (Sendinblue),Email,Multi-channel,0,free / $8.08+/mo,80,Yes,Email + SMS + WhatsApp.,Quality variable across channels.,
Substack,Email,Newsletter,0,free (revenue share),0,Yes,Best for paid newsletters.,Lock-in concerns.,
Ghost,Email,Open source newsletter,0,$9+/mo or self-host,50,Yes,Open-source newsletter + site.,Setup overhead if self-host.,
Klaviyo,Email,E-commerce,0,free / $20+/mo,300,Yes,Best for Shopify-driven brands.,Pricing scales with list.,
Drip,Email,E-commerce,39,$39+/mo,100,No,E-commerce automation.,Less popular than Klaviyo.,
Omnisend,Email,E-commerce,0,free / $16+/mo,100,Yes,E-commerce email + SMS.,Below Klaviyo at scale.,
Hotjar,Analytics,Heatmaps / session recording,0,free / $32+/mo,50,Yes,Industry standard heatmaps.,Performance impact at high traffic.,
Microsoft Clarity,Analytics,Free heatmaps,0,free,0,Yes,Microsoft's free heatmap tool.,Less polished than Hotjar.,
Fullstory,Analytics,Enterprise session,0,enterprise,50,No,Enterprise session replay.,Pricing premium.,
Heap,Analytics,Auto-tracking,0,free / $99+/mo,50,Yes,Auto-tracks every event.,Costs at scale.,
Pendo,Analytics,Product analytics + guidance,0,free / enterprise,50,Yes,Analytics + in-app guidance.,Pricing opaque.,
LogRocket,Analytics,Session replay + error,99,$99+/mo,50,No,Combines analytics + error tracking.,Pricing premium.,
June,Analytics,B2B SaaS analytics,0,free / $149+/mo,30,Yes,Built for B2B SaaS.,Smaller team.,
Userflow,Analytics,User onboarding analytics,0,$240+/mo,30,No,Onboarding-focused.,Niche.,
Statsig,Analytics,Experimentation,0,free / $150+/mo,20,Yes,Best experimentation platform.,Smaller community.,
LaunchDarkly,Analytics,Feature flags + experiments,0,free / $10+/seat/mo,50,Yes,Enterprise feature flags.,Pricing scales.,
Jira,Project management,Atlassian,0,free / $7.16+/user/mo,1000,Yes,Industry default for engineering.,Slower UX than Linear.,
Basecamp,Project management,Flat fee,99,$99/mo (flat),50,No,Best flat-pricing PM.,Less flexible than peers.,
Trello,Project management,Kanban,0,free / $5+/user/mo,200,Yes,Easiest kanban.,Limited reporting.,
Wrike,Project management,Cross-team,0,free / $9.80+/user/mo,400,Yes,Cross-team workflows.,Complex setup.,
Smartsheet,Project management,Spreadsheet-like,0,$9-32+/user/mo,100,No,Best for spreadsheet thinkers.,Excel-feel learning curve.,
Airtable,Project management,Database-like,0,free / $20+/seat/mo,100,Yes,Best database-as-PM.,Pricing scales with rows.,
Productive,Project management,Agency-focused,9,$9-25+/user/mo,50,No,Best for agencies.,Niche.,
Hive,Project management,Email-integrated,5,free / $5+/user/mo,30,Yes,Built into email workflows.,Less powerful.,
MeisterTask,Project management,Kanban + Mind Map,0,free / $7+/user/mo,30,Yes,Visual hybrid.,Smaller community.,
Help Scout,Customer support,Shared inbox,25,$25+/seat/mo,100,Yes,Best for small teams.,Less powerful at scale.,
Tidio,Customer support,Chat + bots,0,free / $29+/mo,100,Yes,Best for SMB e-commerce.,Less powerful.,
Drift,Customer support,Conversational marketing,0,$0-2.5K+/mo,50,Yes,Sales-focused chat.,Pricing locks out SMBs.,
Freshdesk,Customer support,Helpdesk,0,free / $15+/agent/mo,100,Yes,Mid-market alternative to Zendesk.,Below Zendesk in extensibility.,
Kayako,Customer support,Helpdesk,30,$30-100+/agent/mo,50,No,Mid-market helpdesk.,Smaller community.,
LiveAgent,Customer support,Helpdesk,15,$15-69/agent/mo,50,No,Affordable helpdesk.,Less polished.,
ClickUp Helpdesk,Customer support,Bundled,7,$7+/user/mo,100,Yes,Best if already on ClickUp.,Niche.,
Re:amaze,Customer support,Shared inbox + chat,29,$29-89/seat/mo,30,No,E-commerce focused.,Smaller market.,
Customerly,Customer support,All-in-one,7,$7-179/mo,30,Yes,Live chat + CRM + email.,Less depth in any category.,
Beacon (Help Scout),Customer support,In-app chat,25,with Help Scout,0,No,Help Scout's chat widget.,Tied to Help Scout.,
AWS,Hosting/Deploy,Cloud,0,usage-based,1000,Yes,Industry-default cloud.,Cost surprises.,
GCP,Hosting/Deploy,Cloud,0,usage-based,800,Yes,Best for ML / data workloads.,Less mature ecosystem.,
Azure,Hosting/Deploy,Cloud,0,usage-based,1000,Yes,Best for Microsoft shops.,Pricing opaque.,
DigitalOcean,Hosting/Deploy,Simplified cloud,4,$4+/mo,50,No,Simple cloud for developers.,Less feature breadth than AWS.,
Linode (Akamai),Hosting/Deploy,VPS,5,$5+/mo,30,No,Reliable VPS option.,Smaller feature set.,
Hetzner,Hosting/Deploy,European VPS,4,€4+/mo,20,No,Cheapest reliable European VPS.,Limited managed services.,
Fly.io,Hosting/Deploy,Edge container,0,usage-based,30,Yes,Best for global edge.,Newer; less mature.,
Render,Hosting/Deploy,PaaS,0,free / $7+/mo,30,Yes,Best Heroku alternative.,Pricing slightly more than Railway.,
Heroku,Hosting/Deploy,PaaS,5,$5+/mo,100,No,Veteran PaaS.,Pricier than newer entrants.,
Netlify,Hosting/Deploy,JAMstack,0,free / $19+/mo,50,Yes,Best for static + functions.,Pricier than Vercel for some cases.,
Supabase,Hosting/Deploy,Backend-as-Service,0,free / $25+/mo,30,Yes,Open-source Firebase.,Smaller ecosystem.,
