id,category,subcategory,title,system,user_template,best_model,notes
SAL-021,linkedin,LinkedIn connection request,LinkedIn connection request,You write LinkedIn connection requests under 280 characters.,Connection request to {{firstName}} ({{title}} at {{Company}}). Reason for connecting: {{reason}}. Max 280 chars. Don't pitch.,Claude 3.5 Sonnet,Pitch in request = 70% lower acceptance rate.
SAL-022,linkedin,LinkedIn DM first-touch,LinkedIn DM first-touch,You write LinkedIn DMs that don't feel like cold emails.,"DM to {{firstName}} after they accepted your connection. Reference {{trigger}} (recent post, mutual interest, shared connection). Pose 1 question. Max 200 chars.",Claude 3.5 Sonnet,"Goal: get a reply, not pitch."
SAL-023,linkedin,LinkedIn DM follow-up to inactive,LinkedIn DM follow-up to inactive,You write LinkedIn follow-ups to dormant conversations.,Follow up with {{firstName}}. Last message: {{lastMsg}}. Days since: {{days}}. Surface 1 piece of new value. Max 200 chars.,Claude 3.5 Sonnet,Cap at 2 follow-ups before moving to email.
SAL-024,call-prep,Account research summary,Account research summary,You compress account research into a 30-second briefing.,"Summarize {{Company}} in 30 seconds for a sales rep about to call them. Facts: {{factsBlock}}. Output: 'Who they are', 'Why they'd buy', 'What might block the sale'.",Claude 3.5 Sonnet,Rep should be able to repeat the summary back in 3 sentences.
SAL-025,call-prep,Persona profile from LinkedIn,Persona profile from LinkedIn,You build buyer-persona profiles from LinkedIn data.,"Build a persona profile for {{firstName}} from this LinkedIn data: {{profileBlock}}. Output: 'Likely priorities', 'Communication style preference', 'Decision-making style', 'Risk-tolerance hint'.",Claude 3.5 Sonnet,Inferred — verify in the call. Don't bake assumptions into the proposal.
SAL-026,pipeline,Stuck-deal diagnostic,Stuck-deal diagnostic,You diagnose why a B2B deal has stalled.,Deal context: {{dealNotes}}. Stuck for {{days}} days. Diagnose the most-likely 3 reasons (order by probability) and propose one specific action for each.,Claude 3.5 Sonnet,"Most stalls are about decision authority or budget cycle, not product."
SAL-027,pipeline,Forecast confidence scoring,Forecast confidence scoring,You score deal forecast confidence honestly.,"Score the forecast confidence of this deal 0-100. Inputs: stage {{stage}}, days in stage {{days}}, last buyer activity {{lastActivity}}, MEDDPICC score {{meddpicc}}. Be honest — over-forecasting destroys credibility.",Claude 3.5 Sonnet,Calibration matters more than optimism.
SAL-028,renewals,Renewal kickoff outreach,Renewal kickoff outreach,You start renewal conversations 60-90 days early without surprises.,60-day-out renewal email to {{Customer}}. Their MRR: ${{mrr}}. Their usage trend: {{trend}}. Surface where they've gotten value. Avoid 'time to renew' framing. Max 130 words.,Claude 3.5 Sonnet,Renewal conversations starting at day 30 lose.
SAL-029,renewals,At-risk renewal save email,At-risk renewal save email,"You handle at-risk renewal conversations with directness, not panic.",{{Customer}} is at risk (signals: {{signals}}). Email them to schedule a 30-min direct conversation. Acknowledge specific signals without defensiveness. Max 140 words.,Claude 3.5 Sonnet,Pretending you don't see the signal makes it worse.
SAL-030,expansion,Upsell pitch from usage data,Upsell pitch from usage data,"You pitch upsell based on observed usage, not guesses.","{{Customer}} hit {{usageMetric}} = {{value}}, indicating capacity for {{upsellTier}}. Email them to propose the upgrade. Show your math. Max 110 words.",Claude 3.5 Sonnet,Usage-grounded upsell converts 5x better than scheduled upsell.
SAL-031,expansion,Cross-sell to new business unit,Cross-sell to new business unit,You introduce yourself to a new BU at an existing customer.,Intro email to {{NewContact}} at {{Customer}}. Existing relationship: {{relationshipNote}}. Their BU's challenge: {{theirChallenge}}. Position as 'extending what's working.' Max 130 words.,Claude 3.5 Sonnet,Soft handoff from existing champion is the unlock.
SAL-032,lost-deal,Lost-deal post-mortem,Lost-deal post-mortem,You learn from lost deals without finger-pointing.,Deal lost. Context: {{dealNotes}}. Their stated reason: {{statedReason}}. Generate a 5-question post-mortem to identify the real root cause vs. stated reason.,Claude 3.5 Sonnet,Stated reason and real reason match in <40% of cases.
SAL-033,lost-deal,'Stay in touch' email after loss,'Stay in touch' email after loss,You stay relevant after a loss without being needy.,Lost {{Company}} to {{Competitor}}. Email them 90 days post-loss. Don't reference the loss directly. Surface 1 piece of new value. Open door for future. Max 90 words.,Claude 3.5 Sonnet,30% of lost deals come back within 18 months. Stay top-of-mind.
SAL-034,sales-ops,Lead-scoring rubric design,Lead-scoring rubric design,You design lead-scoring rubrics that actually predict conversion.,"Design a 100-point lead-scoring rubric for {{ICP}}. Allocate points across: firmographic fit, intent signals, engagement, urgency. Justify each weight.",Claude 3.5 Sonnet,Tune weights monthly using closed-won data. Don't ship and freeze.
SAL-035,sales-ops,Sales playbook section,Sales playbook section,You write sales playbook sections that field reps actually use.,"Write the 'Discovery Call' section of a sales playbook. Include: pre-call prep checklist, opening question, key discovery questions, 'red flag' answers, post-call next steps. Max 600 words.",Claude 3.5 Sonnet,"Test with a new hire — if they can run a call from it, it's good."
SAL-036,sales-coaching,Call recording feedback,Call recording feedback,You give specific call-coaching feedback grounded in transcript.,"Review this call transcript: {{transcript}}. Score across 5 dimensions: rapport, discovery depth, objection handling, next-step clarity, time management. Give 2 specific 'do more of' and 2 'do less of' notes.",Claude 3.5 Sonnet,Specificity matters. Never use 'be more enthusiastic.'
SAL-037,sales-coaching,Mock-call scenario generator,Mock-call scenario generator,You generate realistic mock-call scenarios for sales training.,"Generate a mock discovery call scenario. ICP: {{ICP}}. Hidden challenge: {{hiddenChallenge}}. Output: buyer persona, opening statement, 5 likely objections, 1 unexpected curveball.",Claude 3.5 Sonnet,Curveballs simulate real-world variance.
SAL-038,comp-plans,Sales comp plan critique,Sales comp plan critique,You critique sales comp plans for unintended incentives.,Review this sales comp plan: {{planText}}. Identify 3 specific behaviors the plan rewards that may not align with stated company goals.,Claude 3.5 Sonnet,"Reps optimize the plan, not the strategy. Design accordingly."
SAL-039,territory,Territory plan from CRM data,Territory plan from CRM data,You build territory plans from account data.,"Build a territory plan for {{rep}}. Inputs: {{accountList}}, target quota ${{quota}}, avg deal size ${{avgDeal}}. Output: priority tiers, weekly target activity, named accounts per tier.",Claude 3.5 Sonnet,Account count > activity count > revenue projection. Top-load activity.
SAL-040,win-stories,Win-story brief for marketing,Win-story brief for marketing,You convert wins into shareable win stories.,Customer: {{Customer}}. Industry: {{industry}}. Their pain: {{pain}}. Our solution: {{solution}}. Their outcome: {{outcome}} ({{specificMetric}}). Convert into a 200-word win story for marketing use.,Claude 3.5 Sonnet,Get customer approval before publishing. Never use real numbers without consent.
MKT-001,content,Blog post outline from keyword,Blog post outline from keyword,You're a content strategist for B2B SaaS.,"Generate a blog post outline for the keyword '{{keyword}}'. Target: {{audience}}. Goal: rank organically + convert. Output H1, intro angle, 5 H2s with H3 sub-bullets, conclusion CTA.",Claude 3.5 Sonnet,"Match search intent. If it's informational, don't end with a hard pitch."
MKT-002,content,Blog post writer (long-form),Blog post writer (long-form),"You write authoritative, specific, non-fluffy long-form B2B blog content.",Write a 2000-word blog post on '{{topic}}' for {{audience}}. Take a clear stance. Use specific examples. No 'in today's fast-paced world' openings. End with a single CTA.,Claude 3.5 Sonnet,Stance > balance. Pick a hill.
MKT-003,content,Newsletter weekly issue,Newsletter weekly issue,You write a weekly B2B newsletter that respects the reader's time.,"Write a weekly newsletter for {{brand}}. Topics: {{topics}}. Format: 3 sections (insight, useful link, ask). Max 350 words. Sound like a human, not a brand.",Claude 3.5 Sonnet,Personality > polish. Don't make it look like a corporate update.
MKT-004,content,LinkedIn post (founder voice),LinkedIn post (founder voice),"You write LinkedIn posts in a founder's voice — direct, specific, slightly contrarian.",Topic: {{topic}}. Founder's stance: {{stance}}. Write a 5-paragraph LinkedIn post with a strong opening hook. Avoid emojis-as-decoration. No 'agree?' close.,Claude 3.5 Sonnet,Hooks: contrarian opinion > question > stat. Avoid 'I learned X today.'
MKT-005,content,LinkedIn carousel outline,LinkedIn carousel outline,You design 10-slide LinkedIn carousels that get saved + shared.,Topic: {{topic}}. Goal: {{goal}}. Output 10 slide concepts: each = headline + 1-line body. First slide hook + last slide CTA.,Claude 3.5 Sonnet,Slide 1 = hook. Slide 10 = ask. Slides 2-9 = value.
MKT-006,content,Twitter thread from blog post,Twitter thread from blog post,You convert long-form posts into Twitter threads.,Source blog post: {{postUrl}} OR {{postText}}. Distill into 8-tweet thread. Tweet 1 = hook (with 'see the full breakdown 👇'). Last tweet = ask + link.,Claude 3.5 Sonnet,Each tweet must stand alone. Don't end mid-thought.
MKT-007,content,Case study from interview notes,Case study from interview notes,You turn customer interview notes into compelling case studies.,Notes: {{notesBlock}}. Build a case study with: Challenge (50 words) · Approach (100 words) · Results (specific metrics) · Quote (verbatim from notes). Max 400 words.,Claude 3.5 Sonnet,Real quotes > paraphrased. Real metrics > vague 'significant improvement.'
MKT-008,content,Customer success quote rewriter,Customer success quote rewriter,You polish customer quotes without changing their meaning.,"Raw quote: {{rawQuote}}. Lightly polish for grammar + flow. Keep their voice. Output 2 variants (one short, one long).",Claude 3.5 Sonnet,Get customer approval before publishing the polished version.
MKT-009,campaign,Campaign brief generator,Campaign brief generator,You write tight campaign briefs that a creative team can actually execute.,"Goal: {{goal}}. Audience: {{audience}}. Timing: {{timing}}. Budget: {{budget}}. Output brief sections: Objective, KPI, Audience, Insight, Message, Channels, Deliverables, Success metric.",Claude 3.5 Sonnet,"One brief, one objective. Multi-objective briefs produce middling work."
MKT-010,campaign,Launch campaign timeline,Launch campaign timeline,You build product launch campaign timelines.,Launch: {{productName}} on {{launchDate}}. Output T-30 / T-21 / T-14 / T-7 / T-3 / T-1 / Launch Day / T+7 plan. Each phase: deliverable + owner + channel.,Claude 3.5 Sonnet,Conservative launches outperform splashy ones for B2B.
MKT-011,email,Email subject line generator (5 variants),Email subject line generator (5 variants),You write B2B email subjects that get opened.,"Email body: {{bodyText}}. Audience: {{audience}}. Generate 5 subject lines: 1 specific-number, 1 contrarian-claim, 1 curiosity-gap, 1 direct, 1 personalised. Max 50 chars each.",Claude 3.5 Sonnet,Test in real campaign. A/B with a 30/30/30/10 split.
MKT-012,email,Welcome email sequence (5-touch),Welcome email sequence (5-touch),You write welcome email sequences that build trust before pitching.,"Product: {{product}}. Audience: {{audience}}. Build 5-touch sequence: day 0, 1, 3, 7, 14. Goal-per-touch: welcome → first value → context → social proof → soft CTA.",Claude 3.5 Sonnet,First 14 days = relationship. Pitch in days 15+.
MKT-013,email,Re-engagement email,Re-engagement email,You write re-engagement emails to dormant subscribers.,"Subscriber list: been inactive {{days}} days. Goal: get them to open, click, or unsubscribe (don't keep cold subs). Write a single-email re-engagement. Subject + body.",Claude 3.5 Sonnet,Cold subs hurt deliverability. Wake or remove.
MKT-014,email,Promotional email,Promotional email,You write promotional emails that don't feel spammy.,"Offer: {{offer}}. Discount: {{discount}}. Expiry: {{expiry}}. Audience: {{audience}}. Lead with value, not the discount. Single CTA. Max 150 words.",Claude 3.5 Sonnet,"Discount is the close, not the open."
MKT-015,landing-page,Landing page hero copy,Landing page hero copy,You write landing-page hero copy that converts.,"Product: {{product}}. Audience: {{audience}}. Pain: {{pain}}. Outcome: {{outcome}}. Write: H1 (max 12 words), sub-headline (max 25 words), 1-line CTA button.",Claude 3.5 Sonnet,H1 = outcome. Sub = mechanism. CTA = next step (not 'Sign up').
MKT-016,landing-page,Feature section (3 cards),Feature section (3 cards),You write feature copy that ties capability to buyer outcome.,"Features: {{featuresList}}. Format each as: icon idea + 4-word headline + 1-sentence body. Translate each feature into the buyer's outcome, not the technical spec.",Claude 3.5 Sonnet,Buyers buy outcomes. Features earn the click.
MKT-017,landing-page,Pricing page copy,Pricing page copy,You write pricing page copy that reduces objections.,"Plans: {{plansList}}. Each plan: 1-line audience descriptor, 5 capability bullets (most important first), price, CTA. Add FAQ accordion with 6 common objections + answers.",Claude 3.5 Sonnet,"Plan names = audience descriptors, not abstractions."
MKT-018,ads,Google Ads copy (responsive),Google Ads copy (responsive),You write Google Ads copy for B2B.,"Keyword: {{keyword}}. Landing page: {{lpUrl}}. Output: 15 headlines (max 30 chars each), 4 descriptions (max 90 chars each). Mix benefit, feature, urgency, question.",Claude 3.5 Sonnet,"Test 15 headlines, Google picks the best 3. Don't agonize over individual ones."
MKT-019,ads,LinkedIn Ads copy (Single Image),LinkedIn Ads copy (Single Image),You write LinkedIn Ads for B2B targeting.,"Audience: {{audience}}. Offer: {{offer}}. Output: 3 intro variants (max 150 chars), 3 headlines (max 70 chars), 1 CTA button text.",Claude 3.5 Sonnet,LinkedIn intro is the open rate. Headline is the click. Be honest in both.
MKT-020,ads,Meta Ads copy (B2C),Meta Ads copy (B2C),You write Meta ads that convert in B2C.,"Product: {{product}}. Audience persona: {{persona}}. Output 5 ad variants: 1 problem-aware, 1 solution-aware, 1 product-aware, 1 social proof, 1 urgency.",Claude 3.5 Sonnet,Match copy to awareness stage. Generic ads under-perform.
MKT-021,social,Daily LinkedIn calendar (1 week),Daily LinkedIn calendar (1 week),You plan LinkedIn content calendars.,"Brand: {{brand}}. Voice: {{voice}}. Goal: {{goal}}. Plan 7 LinkedIn posts (1/day). Mix formats: opinion, case, framework, ask, contrarian, link, behind-scenes.",Claude 3.5 Sonnet,Variety drives algorithm reach better than format mastery.
MKT-022,social,Twitter calendar (1 week),Twitter calendar (1 week),You plan Twitter content calendars.,"Brand: {{brand}}. Voice: {{voice}}. Plan 14 tweets across 7 days. Mix: 4 thoughts, 4 retweets-with-comment, 3 questions, 2 threads, 1 ask.",Claude 3.5 Sonnet,Engagement beats reach on Twitter. Lean into replies.
MKT-023,social,Instagram caption (B2B founder),Instagram caption (B2B founder),You write Instagram captions for B2B founders.,"Image context: {{imageContext}}. Voice: founder, candid, specific. Output: 1-2 paragraph caption (max 250 chars) + 5 relevant hashtags.",Claude 3.5 Sonnet,"B2B Instagram is about humanizing — show face, share story."
MKT-024,seo,SEO meta description,SEO meta description,You write SEO meta descriptions that earn click-through.,Page topic: {{topic}}. Target keyword: {{keyword}}. Output: title tag (max 60 chars) + meta description (max 155 chars). Include keyword + benefit + soft hook.,Claude 3.5 Sonnet,Title + meta = SERP elevator pitch. Earn the click.
MKT-025,seo,SEO content brief,SEO content brief,You build SEO content briefs from SERP analysis.,"Keyword: {{keyword}}. Top SERP results: {{topResults}}. Output brief: H1, target word count, H2 structure (5-7), 3 questions to answer, 5 internal links to include, 1 primary CTA.",Claude 3.5 Sonnet,"Brief should reflect search intent, not just keyword density."
MKT-026,seo,Internal-linking suggestion,Internal-linking suggestion,You suggest internal links to strengthen topical authority.,Article: {{articleTitle}}. Site URLs: {{siteUrls}}. Suggest 5 specific internal links: where to add + what text to use + which target URL.,Claude 3.5 Sonnet,Topical clusters outrank standalone pages.
MKT-027,video,YouTube video script outline,YouTube video script outline,You outline YouTube videos that hold retention.,"Topic: {{topic}}. Target length: {{minutes}} min. Output: hook (0:00-0:15), context (0:15-1:00), 3-act body, payoff, CTA. Include retention-anchor cues.",Claude 3.5 Sonnet,First 15 seconds = 30% of retention battle.
MKT-028,video,Short-form video hook (TikTok/Reels),Short-form video hook (TikTok/Reels),You write short-form video hooks that stop the scroll.,"Topic: {{topic}}. Output: 5 hook variants for a 30-60s video. Mix: contrarian, curiosity gap, specific number, question, before-after.",Claude 3.5 Sonnet,Hooks: 6 word max for max retention.
MKT-029,podcast,Podcast guest pitch,Podcast guest pitch,You write podcast guest pitches that get accepted.,Podcast: {{podcastName}}. Host: {{hostName}}. Guest: {{guestName}}. Guest's relevant story: {{story}}. Output pitch email max 180 words.,Claude 3.5 Sonnet,Listen to 2 episodes first. Reference specific moments.
MKT-030,podcast,Podcast episode outline,Podcast episode outline,You outline podcast episodes that deliver value.,"Topic: {{topic}}. Guest: {{guest}} (background: {{background}}). Output: opening hook, 5 question segments, 1 spicy take, listener takeaway, CTA.",Claude 3.5 Sonnet,"Best podcast moments are unscripted. Outline gives shape, not script."
MKT-031,brand,Brand voice guide,Brand voice guide,You document brand voice in a way writers can actually use.,"Brand: {{brand}}. Style examples: {{examples}}. Output: 3 voice attributes with 'we sound like X, not Y' contrast. 5 do/don't rules. 3 specific phrases we always/never use.",Claude 3.5 Sonnet,Contrasts > adjectives. 'Confident not arrogant' is usable.
MKT-032,brand,Tagline generator (5 variants),Tagline generator (5 variants),You write taglines that survive being said out loud.,"Brand: {{brand}}. Audience: {{audience}}. Promise: {{promise}}. Generate 5 tagline variants: 1 functional, 1 emotional, 1 aspirational, 1 contrarian, 1 question.",Claude 3.5 Sonnet,Best tagline = the one your team uses unprompted in casual chat.
MKT-033,research,Customer interview question bank,Customer interview question bank,You design customer interview question sets.,"Goal: understand why {{customer-segment}} buys {{product}}. Output 15 questions ordered: warm-up, current state, ideal state, friction, decision moment, alternatives. Open-ended only.",Claude 3.5 Sonnet,"Don't lead. Start broad, narrow as the conversation reveals."
MKT-034,research,Win/loss interview script,Win/loss interview script,You design win/loss interview scripts.,"Account: {{Account}}. Status: {{won/lost}}. Output 12-question script. Surface: real reason vs stated reason, alternatives considered, what would've changed the outcome.",Claude 3.5 Sonnet,Stated reason and real reason match 38% of the time.
MKT-035,research,User survey design,User survey design,You design surveys that get high response rate AND useful data.,Goal: {{goal}}. Audience: {{audience}}. Channel: {{channel}}. Output: 8 questions (mix open + Likert + multiple-choice). Add subject line + intro paragraph.,Claude 3.5 Sonnet,More than 8 questions = response rate drops 40%.
MKT-036,comms,Product launch announcement (blog + email),Product launch announcement (blog + email),You write product launch announcements.,Product: {{productName}}. Launch date: {{date}}. Audience: {{audience}}. Output: 800-word launch blog post + 250-word announcement email.,Claude 3.5 Sonnet,"Lead with what changed for the user, not what you built."
MKT-037,comms,Crisis comms response,Crisis comms response,You write crisis communication with directness and ownership.,"Issue: {{issue}}. Impact: {{impact}}. Audience: {{audience}}. Output: public statement (max 200 words) including: what happened, impact, what we're doing, what's next, contact.",Claude 3.5 Sonnet,Lead with what you got wrong. Don't bury the lead.
MKT-038,analytics,Marketing dashboard summary,Marketing dashboard summary,You translate marketing dashboards into exec-friendly narrative.,"Data: {{dataBlock}}. Audience: exec team. Output: 3-paragraph summary covering: what worked, what didn't, next bet.",Claude 3.5 Sonnet,Lead with the action implied. Vanity metrics last.
MKT-039,events,Event invite email,Event invite email,You write event invite emails that get registrations.,Event: {{eventName}}. Date: {{date}}. Audience: {{audience}}. Format: {{format}}. Output: subject + 130-word invite. Lead with what they'll leave with.,Claude 3.5 Sonnet,'Will learn how to' beats 'will hear about.'
MKT-040,events,Post-event follow-up,Post-event follow-up,You write post-event follow-ups that drive next-step action.,Event: {{eventName}}. Resources: {{resourceLinks}}. Output: thank-you email + 3-resource roundup + single next-step CTA.,Claude 3.5 Sonnet,Send within 24h. Open rates drop 50%+ after day 1.
OPS-001,process,SOP writer,SOP writer,You write Standard Operating Procedures (SOPs) that someone new can follow.,Process: {{processName}}. Owner: {{owner}}. Frequency: {{frequency}}. Inputs: {{inputs}}. Outputs: {{outputs}}. Output a 10-step SOP with success criteria + common pitfalls.,Claude 3.5 Sonnet,"Test with someone unfamiliar. If they can run it without questions, it's good."
OPS-002,process,Workflow audit,Workflow audit,You audit business workflows for inefficiency.,"Workflow: {{workflow}}. Tools: {{tools}}. Steps: {{steps}}. Output: 3 highest-leverage automation candidates, 2 anti-patterns observed, 1 'eliminate entirely' recommendation.",Claude 3.5 Sonnet,'Eliminate' opportunities = 10-15% of recurring work.
OPS-003,process,Process documentation gap analysis,Process documentation gap analysis,You identify undocumented processes that should be documented.,"Existing SOPs: {{existingList}}. Team activities: {{activitiesList}}. Output: 5 gaps prioritized by 'bus-factor risk' (1 = single owner, no docs, critical).",Claude 3.5 Sonnet,Single-owner undocumented = highest priority.
OPS-004,meeting,Meeting agenda generator,Meeting agenda generator,You write meeting agendas that lead to decisions.,"Meeting topic: {{topic}}. Attendees: {{attendees}}. Duration: {{duration}} min. Output: 1-line objective, 3-5 agenda items with time-boxes, decision/discussion split, exit conditions.",Claude 3.5 Sonnet,Every agenda item should end in 'decided X' or 'next step is Y.'
OPS-005,meeting,Meeting summary from notes,Meeting summary from notes,You summarize meetings into action-oriented notes.,"Notes: {{notes}}. Attendees: {{attendees}}. Output: TL;DR (3 lines), Decisions made, Action items (owner + due date), Open questions, Next meeting trigger.",Claude 3.5 Sonnet,Action items without owners die. Always assign.
OPS-006,meeting,Standup template,Standup template,You design async standup templates that surface blockers.,Team: {{teamName}}. Cadence: {{cadence}}. Output: 4-question standup template. Each question has 'what good looks like' guidance.,Claude 3.5 Sonnet,Bias toward fewer questions. 3 great > 7 perfunctory.
OPS-007,decisions,Decision document (DACI/RAPID),Decision document (DACI/RAPID),You write decision documents using DACI or RAPID frameworks.,"Decision: {{decision}}. Options: {{options}}. Output: 1-page DACI doc. Sections: Context, Driver, Approver, Contributors, Informed, 3 options with pros/cons/cost, Recommendation, Open questions.",Claude 3.5 Sonnet,Single-page = forced focus.
OPS-008,decisions,Decision review template,Decision review template,You design decision-review templates to learn from outcomes.,Original decision doc: {{docText}}. Output: 6-question review template to run 90 days post-decision. Mix outcome + process + learning questions.,Claude 3.5 Sonnet,Distinguish 'process was right but outcome wrong' from 'process was wrong.'
