Tool,Category,Summary,Pricing,Verdict,Notes
Granola,Meeting notes,AI meeting notes.,$14-25/mo,PICK,Best meeting notes app.
Cap,Loom replacement,Open-source screen recording.,Free + paid,GOOD,Privacy-respecting alt to Loom.
Ahrefs,SEO,Best SEO research tool.,$108-449/mo,PICK,Industry standard for SEO.
Frase,Content / SEO,Content briefs from SERP.,$15-115/mo,GOOD,For content teams.
Beehiiv,Newsletters,Newsletter platform.,Free + paid,GOOD,Best newsletter tool right now.
ConvertKit (Kit),Newsletters,Creator-focused email.,Free + $25+/mo,GOOD,Creator alternative.
Stripe,Payments + billing,Standard SMB billing platform.,2.9% + 30c,PICK,Default for online billing.
Mercury,Banking,Startup-friendly US banking.,Free,PICK,For US-incorporated startups.
Wise Business,Banking,International banking.,Free,PICK,For multi-currency businesses.
Pulley,Cap table,Cap table mgmt.,Free + paid,GOOD,For equity tracking.
1Password,Password mgr,Team password manager.,$8-12/seat/mo,PICK,Standard for SMB security.
Vanta,SOC2 / compliance,SOC 2 automation.,$10k+/yr,PICK,For SOC 2 audits.
Drata,SOC2 / compliance,Alt to Vanta.,$10k+/yr,GOOD,Competitive with Vanta.
Cal.com,Booking,Open-source Calendly.,Free self-host + paid,PICK,For technical teams.
Calendly,Booking,Industry standard.,Free + $10-16/mo,PICK,For non-technical teams.
LangGraph,Agent framework,LangChain's agent orchestration.,Free,GOOD,If using LangChain.
CrewAI,Agent framework,Multi-agent orchestration.,Free,WATCH,"Earlier-stage, evolving."
E2B,Agent sandbox,Code interpreter sandboxes.,Pay-per-use,PICK,For code-executing agents.
Browserbase,Browser agent,Headless browser for AI.,Pay-per-use,PICK,For browser-using agents.
Modal,Serverless GPU,Serverless GPU for AI.,Pay-per-use,PICK,For custom AI workloads.
Apify,Web scraping,Web scraping platform.,Free + paid,GOOD,For scraping at scale.
Firecrawl,Web crawling,AI-friendly crawler.,$19+/mo,PICK,For RAG document collection.
Datalab,OCR / parsing,Marker open-source PDF.,Pay-per-use,GOOD,Self-host alternative to Unstructured.
Generic AI sales agent X,Sales automation,Often hallucinates outreach details.,$199+/mo,AVOID,"Use as agent-assisted, not agent-driven."
Heavy enterprise BI tool,Analytics,Costly + slow for SMB scale.,$50k+/yr,AVOID,PostHog covers 90% of SMB needs.
Single-vendor AI suite,Various,Lock-in risk + variable quality.,$200+/mo,AVOID,Build with best-of-breed instead.
AI customer-support agent,Support,Hallucination + brand-tone drift.,$300+/mo,AVOID,Use AI for triage; humans close.
Tursо (libSQL),Database,Edge SQLite.,Free + paid,GEM,Replicated SQLite at the edge.
Trigger.dev,Background jobs,Modern background jobs.,Free + paid,GEM,Better DX than serverless functions.
Inngest,Event-driven backend,Event-first backend.,Free + paid,GEM,For event-driven workflows.
Defer,Background jobs,Background jobs + workflows.,Free + paid,GEM,Worth watching.
Webstudio,Visual web builder,Open-source visual web.,Free + paid,GEM,Webflow alternative.
Raycast,Mac productivity,Spotlight + AI + scripts.,Free + $8/mo Pro,GEM,Most underrated Mac tool.
Arc / Dia,Browser,Browser built around AI.,Free,GEM,Worth trying as primary.
